"method","pc","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80"
"Logistic",17,0.87,0.54,0.54,0.47,0.85,0.49,0.45,0.56,0.85,0.48,0.62,0.59,0.85,0.54,0.52,0.52,0.86,0.54,0.6,0.53,0.82,0.56,0.47,0.54,0.82,0.43,0.52,0.61,0.84,0.53,0.53,0.53,0.82,0.42,0.59,0.58,0.87,0.58,0.48,0.48,0.87,0.54,0.68,0.47,0.87,0.52,0.49,0.52,0.81,0.48,0.59,0.57,0.82,0.55,0.51,0.49,0.8,0.61,0.66,0.54,0.81,0.59,0.62,0.59,0.83,0.44,0.78,0.48,0.85,0.51,0.57,0.57,0.83,0.5,0.5,0.55,0.88,0.61,0.64,0.48
"SVC.c5",17,0.76,0.63,0.53,0.52,0.7,0.64,0.51,0.51,0.77,0.5,0.91,0.51,0.74,0.86,0.5,0.54,0.75,0.79,0.48,0.51,0.7,0.76,0.43,0.51,0.71,0.68,0.66,0.5,0.75,0.62,0.62,0.52,0.73,0.77,0.38,0.5,0.74,0.57,0.67,0.53,0.74,0.66,0.64,0.51,0.72,0.68,0.54,0.51,0.7,0.74,0.56,0.52,0.72,0.83,0.6,0.52,0.69,0.81,0.5,0.52,0.71,0.79,0.57,0.5,0.75,0.78,0.75,0.5,0.77,0.53,0.78,0.53,0.73,0.65,0.59,0.51,0.75,0.64,0.79,0.53
"SVC.c10",17,0.76,0.75,0.53,0.52,0.7,0.77,0.51,0.51,0.77,0.57,0.91,0.51,0.74,0.8,0.5,0.54,0.75,0.7,0.48,0.51,0.7,0.85,0.43,0.51,0.71,0.75,0.66,0.5,0.75,0.73,0.62,0.52,0.73,0.71,0.38,0.5,0.74,0.75,0.67,0.53,0.74,0.68,0.64,0.51,0.72,0.81,0.54,0.51,0.7,0.78,0.56,0.52,0.72,0.68,0.6,0.52,0.69,0.81,0.5,0.52,0.71,0.79,0.58,0.5,0.75,0.78,0.75,0.5,0.77,0.53,0.78,0.53,0.73,0.77,0.59,0.51,0.75,0.49,0.79,0.53
"SVC.c30",17,0.76,0.58,0.53,0.52,0.7,0.79,0.51,0.51,0.77,0.58,0.91,0.51,0.74,0.84,0.5,0.54,0.75,0.69,0.48,0.51,0.7,0.82,0.43,0.51,0.71,0.74,0.66,0.5,0.75,0.73,0.62,0.52,0.73,0.67,0.38,0.5,0.75,0.46,0.66,0.53,0.74,0.75,0.64,0.51,0.72,0.81,0.54,0.51,0.7,0.67,0.56,0.52,0.72,0.85,0.6,0.52,0.69,0.69,0.5,0.52,0.71,0.7,0.58,0.5,0.75,0.8,0.75,0.5,0.77,0.47,0.78,0.53,0.73,0.81,0.59,0.51,0.75,0.57,0.79,0.53
"SVC.c50",17,0.76,0.52,0.49,0.52,0.7,0.84,0.51,0.51,0.77,0.5,0.91,0.51,0.74,0.76,0.5,0.54,0.75,0.76,0.48,0.51,0.7,0.69,0.43,0.51,0.71,0.77,0.66,0.5,0.75,0.57,0.62,0.52,0.73,0.68,0.38,0.5,0.75,0.53,0.63,0.52,0.74,0.58,0.64,0.51,0.72,0.72,0.54,0.51,0.7,0.76,0.55,0.52,0.72,0.85,0.6,0.52,0.69,0.71,0.51,0.52,0.71,0.82,0.58,0.5,0.75,0.82,0.75,0.5,0.77,0.58,0.75,0.53,0.74,0.82,0.59,0.51,0.75,0.59,0.79,0.52
"SVC.c80",17,0.78,0.59,0.47,0.51,0.71,0.73,0.51,0.51,0.77,0.53,0.91,0.5,0.74,0.87,0.5,0.54,0.76,0.6,0.49,0.51,0.7,0.86,0.43,0.51,0.72,0.64,0.66,0.49,0.76,0.61,0.62,0.51,0.73,0.71,0.38,0.5,0.76,0.58,0.58,0.52,0.74,0.68,0.64,0.51,0.73,0.54,0.53,0.5,0.71,0.76,0.56,0.51,0.72,0.85,0.61,0.52,0.7,0.84,0.49,0.52,0.72,0.8,0.58,0.5,0.75,0.75,0.75,0.5,0.78,0.61,0.72,0.53,0.76,0.61,0.58,0.51,0.76,0.54,0.76,0.53
"SVC.c100",17,0.78,0.59,0.49,0.51,0.72,0.64,0.51,0.5,0.77,0.54,0.91,0.5,0.74,0.79,0.5,0.54,0.76,0.62,0.5,0.51,0.7,0.83,0.43,0.51,0.72,0.6,0.67,0.5,0.77,0.57,0.58,0.51,0.73,0.66,0.39,0.5,0.76,0.5,0.57,0.51,0.75,0.57,0.63,0.5,0.74,0.51,0.49,0.5,0.71,0.65,0.57,0.51,0.72,0.68,0.61,0.51,0.7,0.72,0.48,0.51,0.71,0.8,0.58,0.5,0.75,0.72,0.75,0.5,0.78,0.59,0.71,0.53,0.77,0.78,0.56,0.52,0.76,0.51,0.76,0.53
"RandomForest",17,1,0.64,0.69,0.48,1,0.51,0.55,0.49,1,0.65,0.91,0.5,1,0.54,0.64,0.47,1,0.57,0.5,0.5,1,0.46,0.55,0.53,1,0.49,0.56,0.49,1,0.54,0.59,0.5,1,0.52,0.51,0.49,1,0.64,0.7,0.49,1,0.58,0.5,0.49,1,0.54,0.53,0.49,1,0.59,0.65,0.51,1,0.47,0.53,0.57,1,0.54,0.53,0.5,1,0.5,0.55,0.53,1,0.41,0.56,0.49,1,0.62,0.73,0.51,1,0.5,0.5,0.51,1,0.58,0.59,0.53
"Logistic",21,0.95,0.54,0.59,0.51,0.94,0.59,0.74,0.54,0.98,0.43,0.38,0.51,0.97,0.46,0.64,0.56,0.94,0.53,0.51,0.51,0.93,0.5,0.79,0.54,0.9,0.47,0.78,0.55,0.95,0.53,0.6,0.49,0.95,0.52,0.75,0.5,0.94,0.54,0.64,0.48,0.96,0.53,0.43,0.51,0.99,0.63,0.52,0.55,0.91,0.5,0.7,0.56,0.95,0.56,0.48,0.53,0.92,0.53,0.63,0.58,0.96,0.47,0.74,0.51,0.97,0.45,0.41,0.52,0.95,0.52,0.43,0.49,0.93,0.53,0.65,0.5,0.97,0.53,0.62,0.5
"SVC.c5",21,0.78,0.59,0.56,0.49,0.72,0.66,0.62,0.52,0.8,0.52,0.88,0.55,0.8,0.82,0.65,0.65,0.79,0.74,0.52,0.5,0.76,0.79,0.72,0.6,0.77,0.63,0.69,0.59,0.79,0.44,0.63,0.55,0.8,0.7,0.66,0.6,0.76,0.56,0.67,0.51,0.78,0.69,0.6,0.55,0.77,0.62,0.6,0.56,0.74,0.75,0.68,0.56,0.76,0.88,0.57,0.5,0.73,0.83,0.64,0.52,0.81,0.62,0.81,0.63,0.84,0.67,0.62,0.59,0.79,0.49,0.8,0.5,0.78,0.62,0.59,0.56,0.77,0.69,0.77,0.5
"SVC.c10",21,0.78,0.73,0.56,0.49,0.72,0.77,0.62,0.52,0.81,0.54,0.88,0.55,0.8,0.75,0.65,0.65,0.79,0.63,0.52,0.5,0.76,0.82,0.72,0.6,0.77,0.7,0.69,0.59,0.79,0.55,0.63,0.55,0.8,0.64,0.65,0.6,0.76,0.75,0.67,0.51,0.78,0.74,0.6,0.55,0.77,0.74,0.6,0.56,0.74,0.74,0.68,0.56,0.76,0.7,0.57,0.5,0.73,0.76,0.64,0.52,0.81,0.71,0.81,0.63,0.84,0.66,0.62,0.59,0.79,0.48,0.8,0.5,0.78,0.74,0.59,0.56,0.77,0.51,0.77,0.5
